Name,Points
Ba3bech,6433
Bianco Rosso,6246
Brunek_De_Bruyne,6450
Club 97,6384
Cote el macanicien 🛒🛒,6500
Cuba 🇨🇺,6336
Death team,6597
El bazzou3a squad,6430
EL MANHÜIEN CUP,6300
Fallega FC,6424
Fanatics 03,6433
Fantasytic 4,6678
FC Enit,6535
FC M'saken,6455
Glory FC,6511
maamriya,6300
Regency fc,6320
Sahyt,6607
Sou7ab maguire,6248
THE GOATS,6336
TheKadries,6384
Vegas msaken,6469
VENI VIDI VICI,6405
VIKINGS,6528
Warriors,6498
الزبراطة,6193
العوق للفنتازيات😂,6507
شرمفشلاوخ يونايتد,6526
عشوائيات 🔥,6243
قوافل قفصة غول افريقيا,6358
كورة و حجر,6402
ميكانسيون لكن مثقفون,6495
يا نورة هات الكوموند,6486
